		
"normalized area, average for each treatment"		
		
 GeoID 	  Average Bare  	 Average Bare 
comp100047_c0_seq1	 0.000421 	 0.000318 
comp100108_c0_seq1	 0.001442 	 0.003147 
comp100125_c0_seq1	 0.021016 	 0.026513 
comp100176_c0_seq1	 0.003367 	 0.002594 
comp100298_c0_seq1	 0.098006 	 0.101940 
comp100366_c1_seq1	 0.003476 	 0.000803 
comp100484_c0_seq3	 0.001414 	 0.001580 
comp100725_c0_seq1	 0.019061 	 0.020620 
comp100725_c0_seq3	 0.019061 	 0.020620 
comp100759_c0_seq1	 0.018590 	 0.018047 
comp100946_c0_seq1	 0.001103 	 0.001685 
comp100946_c0_seq2	 0.001103 	 0.001685 
comp101146_c1_seq1	 0.000341 	 0.000316 
comp101296_c1_seq1	 0.001001 	 0.000666 
comp101296_c1_seq2	 0.001001 	 0.000666 
comp101400_c0_seq1	 0.032950 	 0.031232 
comp101400_c1_seq1	 0.050028 	 0.045299 
comp101435_c0_seq1	 0.002273 	 0.004559 
comp101490_c0_seq1	 0.037256 	 0.035186 
comp101681_c0_seq2	 0.000632 	 0.000439 
comp101771_c0_seq1	 0.001693 	 0.001370 
comp101949_c0_seq2	 0.004963 	 0.009172 
comp101984_c0_seq1	 0.002277 	 0.003452 
comp101984_c1_seq1	 0.001889 	 0.001929 
comp101998_c0_seq1	 0.002982 	 0.002445 
comp102255_c0_seq1	 0.000878 	 0.000816 
comp102256_c1_seq1	 0.008262 	 0.004115 
comp102288_c0_seq1	 0.191852 	 0.195557 
comp102293_c0_seq1	 0.017596 	 0.018437 
comp102323_c2_seq1	 0.015941 	 0.024250 
comp102323_c2_seq2	 0.015941 	 0.024250 
comp102414_c0_seq1	 0.002501 	 0.002666 
comp102694_c0_seq1	 0.049524 	 0.060175 
comp102694_c1_seq1	 0.023489 	 0.033125 
comp102745_c0_seq1	 0.026847 	 0.023614 
comp102793_c0_seq1	 0.007678 	 0.011446 
comp102812_c0_seq2	 0.002942 	 0.003916 
comp102812_c0_seq3	 0.000708 	 0.001548 
comp102853_c1_seq1	 0.007557 	 0.008605 
comp103006_c0_seq1	 0.009799 	 0.009940 
comp103010_c0_seq1	 0.001092 	 0.000915 
comp103222_c0_seq1	 0.001210 	 0.001517 
comp103293_c0_seq1	 0.006201 	 0.006426 
comp103293_c0_seq3	 0.002790 	 0.003062 
comp103336_c1_seq2	 0.041151 	 0.043995 
comp103336_c1_seq3	 0.025232 	 0.021336 
comp103336_c1_seq4	 0.021423 	 0.026240 
comp103384_c1_seq1	 0.001214 	 0.000687 
comp103384_c1_seq2	 0.004548 	 0.004062 
comp103523_c0_seq1	 0.131091 	 0.124657 
comp103523_c0_seq2	 0.154338 	 0.144306 
comp103578_c0_seq1	 0.064113 	 0.080152 
comp103578_c0_seq2	 0.072844 	 0.089122 
comp103578_c0_seq3	 0.072844 	 0.089122 
comp103578_c0_seq4	 0.010811 	 0.013907 
comp103610_c0_seq1	 0.026310 	 0.037073 
comp103802_c0_seq1	 0.000545 	 0.000898 
comp103927_c0_seq1	 0.034383 	 0.031820 
comp104060_c0_seq1	 0.013381 	 0.010326 
comp104174_c0_seq1	 0.058994 	 0.064388 
comp104494_c0_seq1	 0.006092 	 0.005072 
comp104555_c1_seq1	 0.001743 	 0.000422 
comp104589_c1_seq1	 0.001436 	 0.002022 
comp104632_c0_seq1	 0.010579 	 0.009853 
comp104635_c0_seq1	 0.004956 	 0.005848 
comp104720_c0_seq1	 0.002592 	 0.003254 
comp104793_c0_seq1	 0.003942 	 0.003537 
comp104868_c0_seq1	 0.002885 	 0.003930 
comp104902_c0_seq3	 0.042153 	 0.047410 
comp105262_c0_seq1	 0.002244 	 0.002644 
comp105391_c0_seq1	 0.108541 	 0.104943 
comp105634_c1_seq1	 0.007850 	 0.008658 
comp105705_c0_seq1	 0.055217 	 0.061089 
comp105830_c0_seq1	 0.011807 	 0.007273 
comp105871_c1_seq1	 0.010101 	 0.013871 
comp105872_c0_seq1	 0.020279 	 0.021091 
comp105872_c0_seq2	 0.020279 	 0.021091 
comp105894_c0_seq1	 0.005804 	 0.004856 
comp105922_c1_seq1	 0.055961 	 0.085734 
comp105966_c0_seq1	 0.000427 	 0.001931 
comp106153_c0_seq1	 0.007350 	 0.004992 
comp106286_c0_seq1	 0.000780 	 0.001632 
comp106341_c0_seq1	 0.005213 	 0.007031 
comp106375_c1_seq1	 0.002219 	 0.003845 
comp106437_c1_seq1	 0.000745 	 0.000544 
comp106658_c1_seq1	 0.010592 	 0.010837 
comp106658_c1_seq2	 0.010592 	 0.010837 
comp106737_c0_seq1	 0.064345 	 0.063102 
comp106737_c0_seq2	 0.064345 	 0.063102 
comp106737_c1_seq1	 0.159728 	 0.154775 
comp106737_c1_seq2	 0.051314 	 0.059145 
comp106737_c1_seq2	 0.108413 	 0.095631 
comp106991_c0_seq1	 0.005535 	 0.005151 
comp107001_c0_seq1	 0.001939 	 0.002020 
comp107063_c0_seq1	 0.012179 	 0.011086 
comp107097_c0_seq2	 0.010294 	 0.014668 
comp107218_c0_seq1	 0.037394 	 0.028057 
comp107306_c0_seq1	 0.006398 	 0.004909 
comp107420_c1_seq1	 0.000745 	 0.000343 
comp107491_c0_seq1	 0.001992 	 0.001504 
comp107521_c1_seq1	 0.008835 	 0.008747 
