GeoID	 B/E Case Inlet 	 B/E Fidalgo Bay 	 B/E Port Gamble 	 B/E Skokomish 	 E/B Case Inlet 	 E/B Fidalgo Bay 	 E/B Port Gamble 	 E/B Skokomish 	
comp105966_c0_seq1		 7.38 	 7.74 	 22.66 					
comp112119_c0_seq1	 5.36 	 17.71 	" 1,063.46 "					 553.71 	
comp123584_c0_seq1	 8.12 	 370.69 	 20.07 						
comp123584_c0_seq2	 8.12 	 370.69 	 20.07 						
comp123584_c0_seq3	 8.12 	 370.69 	 20.07 						
comp124217_c1_seq1		 11.30 	 28.26 	 7.93 					
comp139900_c1_seq1		 11.07 	 8.27 	 115.64 					
comp143599_c0_seq1	 6.88 	 5.61 	 6.27 	 10.76 					
comp144109_c0_seq1	 8.98 	 5.89 		 23.26 			 7.70 		
comp123981_c1_seq1					 10.34 	 27.41 		 31.86 	
comp127566_c0_seq1						 5.05 	 47.93 	 77.63 	
comp131848_c1_seq1					 42.09 		 25.89 	 5.33 	
comp133508_c0_seq1					 9.15 		 7.45 	 5.82 	
comp134820_c0_seq2					 8.58 	 6.60 	 10.17 	 22.50 	
comp135066_c1_seq1					 15.23 		 5.40 	 58.82 	
comp135066_c1_seq2					 15.23 		 5.40 	 58.82 	
comp135942_c2_seq1					 7.15 		 177.12 	 9.39 	
comp135942_c2_seq3					 7.15 		 177.12 	 9.39 	
comp135942_c2_seq7					 7.15 		 177.12 	 9.39 	
comp137009_c0_seq1					 35.22 	 7.24 	 29.15 	 11.17 	
comp138807_c3_seq4						 5.05 	 47.93 	 77.63 	
comp139505_c0_seq1					 58.34 		 25.88 	 26.18 	
comp139505_c0_seq2					 58.34 		 25.88 	 26.18 	
comp140337_c2_seq1						 10.35 	 6.30 	 8.18 	
comp140596_c2_seq1					 47.97 		 10.55 	 314.21 	
comp143360_c0_seq1					 35.22 	 7.24 	 29.15 	 11.17 	
comp25254_c0_seq1					 9.42 	 63.49 	 21.06 		
comp61778_c0_seq1				 7.50 	 5.45 	 10.49 	 6.35 		
comp73995_c0_seq1						 5.13 	 16.28 	 5.34 	
comp83926_c0_seq1	" 4,534.69 "					 40.80 	 201.19 	 373.26 	
