Protein	Average %TIC Eelgrass	Average %TIC Bare	 Average Fold Change E/B 	Average Fold Change B/E	Protein - name edited for Galaxy
cds.comp138743_c1_seq1|m.30791	1.24531%	0.01933%	 64.4390 	 0.02 	comp138743_c1_seq1
cds.comp105966_c0_seq1|m.6904	14.75856%	0.26585%	 55.5140 	 0.02 	comp105966_c0_seq1
cds.comp137627_c0_seq1|m.28531	0.15106%	0.00321%	 46.9961 	 0.02 	comp137627_c0_seq1
cds.comp137627_c0_seq2|m.28533	0.15106%	0.00321%	 46.9961 	 0.02 	comp137627_c0_seq2
cds.comp112119_c0_seq1|m.8504	6.75097%	0.14393%	 46.9039 	 0.02 	comp112119_c0_seq1
cds.comp124714_c0_seq1|m.13631	0.24263%	0.00721%	 33.6362 	 0.03 	comp124714_c0_seq1
cds.comp144587_c0_seq12|m.53116	0.95324%	0.02987%	 31.9131 	 0.03 	comp144587_c0_seq12
cds.comp48205_c0_seq1|m.1827	0.28940%	0.00990%	 29.2276 	 0.03 	comp48205_c0_seq1
cds.comp38481_c0_seq1|m.1403	0.44804%	0.01831%	 24.4741 	 0.04 	comp38481_c0_seq1
cds.comp141777_c0_seq4|m.39710	0.90447%	0.04194%	 21.5634 	 0.05 	comp141777_c0_seq4
cds.comp41952_c0_seq1|m.1555	0.26764%	0.01322%	 20.2502 	 0.05 	comp41952_c0_seq1
cds.comp135226_c0_seq1|m.24060	0.64002%	0.03773%	 16.9629 	 0.06 	comp135226_c0_seq1
cds.comp135226_c0_seq2|m.24061	0.64002%	0.03773%	 16.9629 	 0.06 	comp135226_c0_seq2
cds.comp135226_c0_seq3|m.24062	0.64002%	0.03773%	 16.9629 	 0.06 	comp135226_c0_seq3
cds.comp29200_c0_seq1|m.980	2.18170%	0.14679%	 14.8626 	 0.07 	comp29200_c0_seq1
cds.comp139505_c0_seq1|m.32487	0.18862%	0.01273%	 14.8198 	 0.07 	comp139505_c0_seq1
cds.comp139505_c0_seq2|m.32489	0.18862%	0.01273%	 14.8198 	 0.07 	comp139505_c0_seq2
cds.comp87749_c0_seq1|m.4261	1.00804%	0.07784%	 12.9501 	 0.08 	comp87749_c0_seq1
cds.comp83242_c0_seq1|m.3908	0.25484%	0.02225%	 11.4515 	 0.09 	comp83242_c0_seq1
cds.comp123534_c0_seq2|m.12990	13.16007%	1.24644%	 10.5581 	 0.09 	comp123534_c0_seq2
cds.comp131976_c0_seq2|m.19769	1.37370%	0.13198%	 10.4085 	 0.10 	comp131976_c0_seq2
cds.comp131976_c0_seq3|m.19770	1.37370%	0.13198%	 10.4085 	 0.10 	comp131976_c0_seq3
cds.comp131976_c0_seq5|m.19771	1.37370%	0.13198%	 10.4085 	 0.10 	comp131976_c0_seq5
cds.comp131976_c0_seq6|m.19772	1.37370%	0.13198%	 10.4085 	 0.10 	comp131976_c0_seq6
cds.comp143360_c0_seq1|m.45656	0.20480%	0.02015%	 10.1636 	 0.10 	comp143360_c0_seq1
cds.comp143360_c0_seq2|m.45657	0.20480%	0.02015%	 10.1636 	 0.10 	comp143360_c0_seq2
cds.comp85544_c0_seq1|m.4100	1.16963%	0.11958%	 9.7814 	 0.10 	comp85544_c0_seq1
cds.comp135512_c0_seq1|m.24486	0.85301%	0.08963%	 9.5173 	 0.11 	comp135512_c0_seq1
cds.comp135512_c0_seq3|m.24489	0.85301%	0.08963%	 9.5173 	 0.11 	comp135512_c0_seq3
cds.comp135512_c0_seq4|m.24491	0.85301%	0.08963%	 9.5173 	 0.11 	comp135512_c0_seq4
cds.comp135512_c0_seq6|m.24494	0.85301%	0.08963%	 9.5173 	 0.11 	comp135512_c0_seq6
cds.comp135512_c0_seq7|m.24496	0.85301%	0.08963%	 9.5173 	 0.11 	comp135512_c0_seq7
cds.comp135512_c0_seq8|m.24498	0.85301%	0.08963%	 9.5173 	 0.11 	comp135512_c0_seq8
cds.comp129645_c1_seq1|m.17420	0.12935%	0.01363%	 9.4893 	 0.11 	comp129645_c1_seq1
cds.comp130037_c0_seq1|m.17739	0.43008%	0.04573%	 9.4059 	 0.11 	comp130037_c0_seq1
cds.comp144216_c1_seq4|m.50338	7.37800%	0.82378%	 8.9563 	 0.11 	comp144216_c1_seq4
cds.comp126573_c0_seq2|m.14881	3.35883%	0.38550%	 8.7129 	 0.11 	comp126573_c0_seq2
cds.comp126573_c0_seq3|m.14882	3.35883%	0.38550%	 8.7129 	 0.11 	comp126573_c0_seq3
cds.comp140542_c0_seq1|m.35093	0.31743%	0.03706%	 8.5660 	 0.12 	comp140542_c0_seq1
cds.comp140542_c0_seq2|m.35100	0.31743%	0.03706%	 8.5660 	 0.12 	comp140542_c0_seq2
cds.comp140542_c0_seq3|m.35107	0.31743%	0.03706%	 8.5660 	 0.12 	comp140542_c0_seq3
cds.comp140542_c0_seq4|m.35114	0.31743%	0.03706%	 8.5660 	 0.12 	comp140542_c0_seq4
cds.comp140542_c0_seq5|m.35121	0.31743%	0.03706%	 8.5660 	 0.12 	comp140542_c0_seq5
cds.comp107420_c1_seq1|m.7268	0.29618%	0.03459%	 8.5615 	 0.12 	comp107420_c1_seq1
cds.comp143892_c1_seq1|m.48263	7.66295%	0.90740%	 8.4450 	 0.12 	comp143892_c1_seq1
cds.comp143892_c1_seq6|m.48269	7.66295%	0.90740%	 8.4450 	 0.12 	comp143892_c1_seq6
cds.comp136913_c0_seq2|m.27113	0.24025%	0.03104%	 7.7397 	 0.13 	comp136913_c0_seq2
cds.comp136913_c0_seq3|m.27114	0.24025%	0.03104%	 7.7397 	 0.13 	comp136913_c0_seq3
cds.comp125289_c0_seq2|m.13992	6.48315%	0.85116%	 7.6169 	 0.13 	comp125289_c0_seq2
cds.comp126539_c0_seq1|m.14855	0.24038%	0.03180%	 7.5601 	 0.13 	comp126539_c0_seq1
cds.comp135132_c0_seq1|m.23857	0.29475%	0.03919%	 7.5204 	 0.13 	comp135132_c0_seq1
cds.comp122270_c0_seq1|m.12335	0.79004%	0.10528%	 7.5045 	 0.13 	comp122270_c0_seq1
cds.comp135177_c1_seq1|m.23921	0.79004%	0.10528%	 7.5045 	 0.13 	comp135177_c1_seq1
cds.comp131484_c0_seq1|m.19243	1.08638%	0.14618%	 7.4315 	 0.13 	comp131484_c0_seq1
cds.comp138330_c0_seq1|m.29920	0.89691%	0.12093%	 7.4169 	 0.13 	comp138330_c0_seq1
cds.comp138330_c0_seq2|m.29922	0.89691%	0.12093%	 7.4169 	 0.13 	comp138330_c0_seq2
cds.comp135373_c1_seq1|m.24244	0.95454%	0.12900%	 7.3995 	 0.14 	comp135373_c1_seq1
cds.comp133724_c0_seq1|m.21851	2.37614%	0.32425%	 7.3281 	 0.14 	comp133724_c0_seq1
cds.comp143560_c0_seq6|m.46572	9.36519%	1.29222%	 7.2474 	 0.14 	comp143560_c0_seq6
cds.comp135512_c0_seq2|m.24488	0.45731%	0.06316%	 7.2403 	 0.14 	comp135512_c0_seq2
cds.comp135512_c0_seq5|m.24493	0.45731%	0.06316%	 7.2403 	 0.14 	comp135512_c0_seq5
cds.comp92752_c0_seq1|m.4941	0.49335%	0.06948%	 7.1008 	 0.14 	comp92752_c0_seq1
cds.comp116156_c0_seq1|m.9779	1.88145%	0.26571%	 7.0809 	 0.14 	comp116156_c0_seq1
cds.comp141100_c0_seq9|m.37112	0.53213%	0.07737%	 6.8774 	 0.15 	comp141100_c0_seq9
cds.comp118963_c0_seq1|m.10877	1.36410%	0.20156%	 6.7677 	 0.15 	comp118963_c0_seq1
cds.comp142163_c0_seq1|m.40980	0.84120%	0.12575%	 6.6895 	 0.15 	comp142163_c0_seq1
cds.comp144298_c0_seq1|m.50830	0.02326%	0.00348%	 6.6740 	 0.15 	comp144298_c0_seq1
cds.comp144298_c0_seq2|m.50832	0.02326%	0.00348%	 6.6740 	 0.15 	comp144298_c0_seq2
cds.comp144298_c0_seq3|m.50834	0.02326%	0.00348%	 6.6740 	 0.15 	comp144298_c0_seq3
cds.comp66153_c0_seq1|m.2743	0.32181%	0.04972%	 6.4725 	 0.15 	comp66153_c0_seq1
cds.comp136344_c0_seq2|m.26159	2.56289%	0.39864%	 6.4290 	 0.16 	comp136344_c0_seq2
cds.comp136344_c0_seq4|m.26160	2.56289%	0.39864%	 6.4290 	 0.16 	comp136344_c0_seq4
cds.comp144216_c1_seq14|m.50349	7.80044%	1.28465%	 6.0720 	 0.16 	comp144216_c1_seq14
cds.comp144216_c1_seq15|m.50350	7.80044%	1.28465%	 6.0720 	 0.16 	comp144216_c1_seq15
cds.comp144216_c1_seq3|m.50337	7.80044%	1.28465%	 6.0720 	 0.16 	comp144216_c1_seq3
cds.comp144216_c1_seq5|m.50339	7.80044%	1.28465%	 6.0720 	 0.16 	comp144216_c1_seq5
cds.comp144216_c1_seq7|m.50341	7.80044%	1.28465%	 6.0720 	 0.16 	comp144216_c1_seq7
cds.comp144216_c1_seq9|m.50342	7.80044%	1.28465%	 6.0720 	 0.16 	comp144216_c1_seq9
cds.comp86412_c0_seq1|m.4157	15.89650%	2.62014%	 6.0670 	 0.16 	comp86412_c0_seq1
cds.comp137373_c3_seq1|m.28018	1.51425%	0.26906%	 5.6280 	 0.18 	comp137373_c3_seq1
cds.comp137373_c3_seq5|m.28022	1.51425%	0.26906%	 5.6280 	 0.18 	comp137373_c3_seq5
cds.comp144560_c0_seq1|m.52869	0.18738%	0.03412%	 5.4912 	 0.18 	comp144560_c0_seq1
cds.comp143760_c0_seq2|m.47401	2.39737%	0.44832%	 5.3475 	 0.19 	comp143760_c0_seq2
cds.comp143760_c0_seq7|m.47406	2.39737%	0.44832%	 5.3475 	 0.19 	comp143760_c0_seq7
cds.comp143713_c0_seq3|m.47212	6.21749%	1.21735%	 5.1074 	 0.20 	comp143713_c0_seq3
cds.comp140235_c0_seq1|m.34297	0.24652%	0.04827%	 5.1071 	 0.20 	comp140235_c0_seq1
cds.comp140235_c0_seq2|m.34299	0.24652%	0.04827%	 5.1071 	 0.20 	comp140235_c0_seq2
cds.comp140235_c0_seq3|m.34301	0.24652%	0.04827%	 5.1071 	 0.20 	comp140235_c0_seq3
cds.comp139315_c0_seq2|m.32089	0.32360%	0.06360%	 5.0885 	 0.20 	comp139315_c0_seq2
cds.comp139315_c0_seq8|m.32093	0.32360%	0.06360%	 5.0885 	 0.20 	comp139315_c0_seq8
cds.comp22675_c0_seq1|m.429	0.43562%	0.08625%	 5.0504 	 0.20 	comp22675_c0_seq1
cds.comp142826_c0_seq1|m.43551	0.26421%	0.05262%	 5.0207 	 0.20 	comp142826_c0_seq1
cds.comp142826_c0_seq2|m.43553	0.26421%	0.05262%	 5.0207 	 0.20 	comp142826_c0_seq2
cds.comp17809_c0_seq1|m.156	0.02989%	0.14969%	 0.1997 	 5.01 	comp17809_c0_seq1
cds.comp67328_c0_seq1|m.2802	0.07991%	0.40125%	 0.1991 	 5.02 	comp67328_c0_seq1
