Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0008380~RNA splicing	109	2.804940813175502	4.592297470633885E-19	Q921F2, Q5ZIQ3, Q9UPN6, Q7ZT82, Q5R5X0, P23246, Q4WHG0, Q5R5W2, Q7SAF6, Q9DC48, O35286, Q8R3N6, Q5R469, Q96SB3, B6EUA9, P47845, Q10051, Q00916, O62703, O08837, A6NFN3, Q13148, P92948, Q5RAZ4, O15116, A0JMU8, P39682, Q3MHX3, Q6DII2, Q9CZU3, Q99PV0, Q7ZUG0, Q6PE01, Q91YR7, Q6P2Q9, O35796, Q55D17, Q8WN55, Q7ZVA6, P26369, Q7ZWA3, Q9BUQ8, Q5R8S0, Q7SXL7, Q3TIX9, O43251, Q13435, Q7KZ85, Q4R979, B1AZI6, Q96A72, Q6GLW1, Q95KI0, P57784, P63018, Q23121, P0CO94, Q7TMK9, P36048, A6QPR6, Q2HEB0, P31942, Q15428, Q15427, Q58F21, Q5NVN8, Q24562, P29341, Q8VYA5, P49756, Q0UAT0, Q8K194, Q5D018, O57683, Q9VUV9, Q7TSY6, Q4I7F9, Q5RC80, P62315, Q62384, O43143, Q8NI27, Q8BL97, Q15393, Q9NW13, P84104, Q5NVD0, Q9H0Z9, Q569Z5, Q9D554, O35900, A7SD85, Q9WV25, Q5RDT5, Q9JJ43, Q812D3, Q5F3X4, Q9D0B0, Q9V535, Q3T0D0, Q52G60, O54781, Q5R1W5, Q5ZML3, Q8VE97, O01159, Q05519, Q5R8W6, Q6PG31	3423	187	12646	2.153432036506739	2.5680127455784685E-15	2.5680127455784685E-15	8.842349977987315E-16
GOTERM_BP_DIRECT	GO:0006397~mRNA processing	141	3.6284096757591353	8.315562890170277E-18	Q6NWC6, Q921F2, Q9UPN6, Q5ZIQ3, Q9WU01, Q7ZT82, P23246, Q5R5X0, Q4WHG0, Q5R5W2, Q7SAF6, O43390, Q9DC48, Q8N6W0, Q6CDH3, A4IIM2, O35286, Q5R469, Q8R3N6, Q5ZIP4, Q9P2N5, P47845, Q10051, Q00916, A0JM51, Q04836, O62703, O08837, P19682, A6NFN3, P92948, Q13148, Q9EPU4, Q5RAZ4, O15116, Q15459, A1CRM1, A0JMU8, P39682, Q3MHX3, Q6DII2, Q5ZI08, Q9CZU3, Q99PV0, Q7ZUG0, Q6PE01, Q6FQU5, Q6NVF9, Q91YR7, Q63627, Q6P2Q9, O35796, Q55D17, Q86U06, Q8WN55, Q7ZVA6, P26369, Q7ZWA3, Q5R8S0, Q7SXL7, Q3TIX9, O43251, Q13435, Q7KZ85, Q4R979, B1AZI6, Q96A72, Q6GLW1, Q95KI0, P57784, P63018, Q23121, P0CO94, Q7TMK9, P36048, A6QPR6, Q2HEB0, Q15428, Q15427, Q9Z1B3, Q58F21, P51400, Q5NVN8, Q24562, P29341, Q93W34, P49756, Q5R9H4, Q8K194, O42958, Q5D018, Q0U1G2, O57683, Q7TSY6, Q4I7F9, Q7XMK8, A3LXL0, Q5RC80, P62315, Q91VR5, Q62384, O43143, Q9IBD1, Q8BL97, Q15393, Q9NW13, Q5RDW9, Q6L8Q7, Q4KMD7, P84104, Q5NVD0, Q9H0Z9, Q569Z5, A1D4K4, Q9D554, O15234, O35900, Q6DJE4, A7SD85, Q99181, Q8R081, Q9WV25, Q5RDT5, Q6C024, Q2T9I5, Q9JJ43, Q812D3, Q5F3X4, Q9D0B0, Q9V535, Q3T0D0, Q52G60, O54781, Q5R1W5, Q5ZML3, Q8VE97, O01159, Q5B3I8, Q05519, Q6PG31, Q5B630	3423	274	12646	1.9011431898002138	4.650062768183219E-14	2.3250313840916094E-14	1.601140122325305E-14
GOTERM_BP_DIRECT	GO:0098609~cell-cell adhesion	79	2.0329387545033453	1.392774254050993E-15	P46940, Q5ZLT7, Q5ZIQ3, Q01082, Q9R172, O00571, Q8WU90, Q01970, P55196, Q96PY5, O35509, Q3T000, Q9UNF0, P61314, Q9Z1Z3, P16086, Q9UJU6, P15880, Q7Z478, Q86W92, O00567, O75369, O60749, Q13813, Q8CBW3, Q8C525, Q96JJ3, O08679, Q15149, Q08093, D3ZHV2, Q80X90, Q99JE6, Q62920, A0FGR8, Q9CX00, Q3MHN0, Q91Y81, Q8NC51, Q9UHB6, A7Z035, Q6NZJ6, Q6P1N0, Q9HC38, P30427, Q8CHU3, Q17QG2, P51610, Q15056, Q7KZF4, Q9WV25, Q3TZZ7, Q9QXS1, Q96AG4, Q8BVD5, Q6ZQ58, Q2KJA1, Q61191, O70400, Q9Z254, Q80U72, Q8VDJ3, Q8BK64, P35611, P51432, P41541, P22061, Q9QWN8, Q5E946, Q92616, Q3T0D0, Q91VX2, Q13177, Q2YGT9, Q7KZI7, P14618, O43795, P53367, Q4FZY0	3423	129	12646	2.2624743243947125	8.070877299815038E-12	2.6902924332716793E-12	2.7755575615628914E-12
GOTERM_BP_DIRECT	GO:0006457~protein folding	83	2.1358723623262996	3.1719009884632896E-14	P63018, Q6P502, Q942L2, Q75M08, Q6EE31, Q9CQN1, Q5ZJK8, P10111, Q09912, P25007, Q8CDN6, O75695, Q9ERE7, Q2KIL5, Q06205, Q5T1M5, Q11004, Q7RXA6, Q8JG64, Q66H94, O75953, Q5I0H9, Q5D016, Q29RV1, Q8IXY8, O42993, O60884, Q5NVI9, P97615, Q5ZJ54, Q3SYT6, Q3ZCH0, Q4R6V2, O97125, A1A4P5, O74191, Q5RCG9, Q54EN4, P52014, Q6TUG0, Q02790, Q11067, Q17QG2, Q32PA9, P80315, Q9CR16, P13667, P80317, Q54SR7, P52193, Q5RAY0, P28480, Q8VX13, Q8VBT0, Q61W58, Q9Y3C6, Q95M18, P30946, P27824, Q812D3, Q9D1Q6, Q9BTW9, Q03958, Q5R941, Q8BK64, Q5ZIN1, P52555, Q91W90, Q7ZW86, Q63081, O14095, Q99615, Q76NU3, Q14697, Q05558, Q14318, Q9NZJ4, Q28205, Q55G93, Q9ERU9, P97576, O43447, Q80Y75	3423	144	12646	2.1294226961404874	1.7755930059593084E-10	4.438982514898271E-11	6.113998196610737E-11
GOTERM_BP_DIRECT	GO:0006413~translational initiation	39	1.0036026762738035	7.39691506094331E-13	Q4G061, Q6GL89, B5FZ19, Q7L2H7, Q6NZJ6, P46778, Q6DRC4, Q9VTU4, Q9H074, P27639, P30050, O43432, Q3T058, Q15056, P61222, Q5E9D0, Q8JFP1, Q6ZQ58, O00303, Q9VXK6, Q7T2A5, Q6TH15, P46782, P15880, Q9M0D0, Q8BGD9, Q6PFQ2, Q02543, Q7Z478, Q3B8M3, Q80XI3, O60573, Q8BJW6, B5RI54, Q6PCR7, Q9QZ81, Q7YR37, Q64270, Q9UBQ5	3423	50	12646	2.881647677475898	4.136635034512892E-9	8.273269846981179E-10	1.4243495272125983E-9
GOTERM_BP_DIRECT	GO:0001731~formation of translation preinitiation complex	23	0.5918682449819866	1.40422525275262E-9	Q8BGD9, Q4G061, Q5ZJ39, Q6PFQ2, Q7L2H7, B5FZ19, P20397, Q3B8M3, Q6DRC4, Q9VZS3, Q9VTU4, A2VD00, Q6PCR7, B5RI54, P79083, Q15056, A7SDW5, Q9UBQ5, O00303, Q7T2A5, Q6TH15, Q5ZMS3, Q5I0B5	3423	26	12646	3.268140857097912	7.852397005958522E-6	1.308737116345604E-6	2.7037994398959597E-6
GOTERM_BP_DIRECT	GO:0051028~mRNA transport	45	1.1580030880082348	2.47406508911651E-9	P84104, A0JMU8, A1D4K4, Q9Z0W3, Q5U249, Q7ZX96, O42254, Q6FQU5, Q5RB68, P49793, O14089, P53067, P70581, Q55D17, Q8R3N6, Q38942, Q80U96, Q6PB66, P11654, Q5R9L3, Q8R0G9, Q7ZVA6, Q9V535, Q8BH74, Q03280, P34077, Q0U1G2, Q5D018, G5EEH9, Q10LJ0, Q7XMK8, Q7KZ85, Q07460, P37199, Q16UN6, B1AZI6, Q6PFX9, Q8BL97, Q9D1M0, Q9ERU9, Q96A72, Q8BTS4, Q5B630, Q6GLW1, A1CRM1	3423	73	12646	2.277382253010457	1.3834876151808118E-5	1.9764225975826832E-6	4.763748173708393E-6
GOTERM_BP_DIRECT	GO:0007018~microtubule-based movement	54	1.3896037056098816	1.2851333903242693E-8	O81635, Q90631, Q9BVG8, Q9FHN8, Q39575, P0C6F1, Q96M86, Q6PDL0, Q8IID4, Q99PW8, Q9NGQ2, Q9WV04, Q923J6, Q9JHU4, Q9W040, Q0VDD8, Q9NYC9, Q8J1G7, Q19542, Q39565, B1AVY7, Q96JB1, Q960Z0, Q6ZR08, P38650, O15066, Q99962, Q8TD57, Q4R628, P23678, P09496, Q8BW94, Q9W2N0, Q9C0G6, Q3V0Q1, Q9NDC9, P46871, P46872, P46873, Q96FN5, Q0III3, Q9NZ32, Q5ZKV8, Q39610, Q62909, O95239, Q91XQ0, Q8VHE6, Q9SMH5, Q6S003, Q8IVF4, Q90640, Q6ZMV9, Q8TE73	3423	98	12646	2.0357008710583266	7.186207734921624E-5	8.983042096288862E-6	2.4744908033724755E-5
GOTERM_BP_DIRECT	GO:0006446~regulation of translational initiation	25	0.6433350488934637	5.895912829022436E-8	Q4G061, B5FZ19, Q7L2H7, Q6NZJ6, Q6DRC4, Q9VTU4, O43432, Q15056, A7SDW5, Q8JFP1, P41110, O00303, Q6TH15, Q7T2A5, Q6CDH3, Q5I0B5, Q6PFQ2, P20397, Q3B8M3, A2VD00, Q6PCR7, P79083, A3LXL0, P79398, Q9UBQ5	3423	33	12646	2.798803105551572	3.296451099799036E-4	3.6632601773445295E-5	1.1352421508403765E-4
GOTERM_BP_DIRECT	GO:0006417~regulation of translation	45	1.1580030880082348	1.837357909607589E-7	A0JMU8, Q8BSK8, Q96J94, A1D4K4, Q9UKZ1, Q6NZJ6, O15234, P28271, Q5R4V4, Q6ZQ08, P50580, Q6GQ80, Q9ZW02, Q5RB68, P17244, Q7ZY11, A6N7Y9, P31751, P41110, Q8VE62, Q99700, Q9UHL0, Q3UHK8, Q8BN59, Q0Z8U2, Q7ZVA6, Q92616, Q8CGC7, O42958, Q5ZIW2, Q5D018, Q80XI3, Q0U1G2, Q9VZS3, Q80U58, Q8BJW6, Q7XMK8, P0A9W5, P07607, O01367, Q562C7, O77210, Q5R4R4, Q5B630, A1CRM1	3423	81	12646	2.052455610737819	0.0010269229905069954	1.0273978562547192E-4	3.537779189044521E-4
GOTERM_BP_DIRECT	GO:0051603~proteolysis involved in cellular protein catabolic process	31	0.797735460627895	2.7879687970473934E-7	Q9R013, Q2TBP0, P25788, P25975, Q90593, P40307, Q9Z2U1, P07711, Q920A6, Q9H3G5, P28024, Q759T9, Q9STL4, Q9R1P4, P25773, Q27968, Q5E968, P60901, Q95M12, P05689, P07858, P18421, Q3ZCJ8, O89110, P06797, Q40143, O97578, Q24K02, P53634, P28075, Q3MHN0	3423	48	12646	2.385979647482715	0.0015578177089232703	1.417201720723682E-4	5.368148134121675E-4
GOTERM_BP_DIRECT	GO:0008152~metabolic process	112	2.8821410190427175	3.914014848626705E-7	Q8CHP8, Q8R0F8, Q9WUB3, P78417, Q7ZWD4, P07742, Q64737, Q6NYL3, Q32KJ6, Q6UWY0, Q6GLT8, P13086, Q08108, Q8BTJ4, P53395, Q8K2I4, Q8J1G7, Q07598, P95141, Q9DBL1, A7MB45, Q6JQN1, Q99JW2, Q9QXG4, Q9UKM7, Q70KH2, Q571E4, P53590, Q16851, Q54NE6, Q5R8R5, Q11067, Q91V92, P35505, Q08890, Q6B855, Q148D5, P34275, O60476, Q0P5B7, Q9JLJ2, O26884, Q9Y2E4, Q8CGC7, P21953, Q8JZN5, F1R6N4, Q54YC4, B5X0W9, Q8BKZ9, Q9UBQ7, Q53FZ2, O88813, Q1ZXI8, Q5PQ71, Q91Z53, P21271, P31686, P52899, Q502K2, Q8GVF9, Q1MTI4, O76387, P50544, Q9D7B6, O75521, Q6NY77, Q19542, Q12275, Q99NB1, Q9EQG7, P11182, Q6AZA0, Q9JHI5, Q9JLZ3, Q9D7J9, Q91YN5, Q9CXS4, P51569, Q12680, Q91YS8, Q66I21, Q96GK7, P50430, P23965, P23678, P97363, P52480, P28271, O46629, P50429, P46873, Q922S4, O15382, Q5UR67, Q23629, Q9W0S9, Q8VCB3, A3QK15, Q8BH95, Q8K370, Q7SY23, Q28CH3, Q9NEL2, Q9US38, Q96KP4, Q502J0, Q9QUJ7, P16332, P76440, O00330, P51688	3423	271	12646	1.526845207102378	0.0021863240361650327	1.823764950376061E-4	7.536307413569254E-4
GOTERM_BP_DIRECT	GO:0045454~cell redox homeostasis	43	1.1065362840967576	4.787441264889405E-7	Q9VNL4, Q942L2, Q75M08, P47791, P38659, O18883, P97346, Q11067, Q96NN9, Q6B4U9, P09623, P13667, O95831, Q8IXB1, Q95YJ5, Q8CDN6, Q2KIL5, Q8VX13, Q8VBT0, Q4N4N8, Q9BQE4, P11024, Q8JG64, Q9D1Q6, Q5I0H9, P52552, Q29RV1, Q28ID3, Q91W90, Q86VQ6, P97615, Q63081, Q9BGI2, O14095, Q9BGI3, Q9BGI1, O95881, Q86XW9, Q6GNG3, P07237, Q5ZJF4, Q54EN4, P28758	3423	78	12646	2.036667490655221	0.002673557458300224	2.0591247372803156E-4	9.21805402487319E-4
GOTERM_BP_DIRECT	GO:0006099~tricarboxylic acid cycle	27	0.6948018528049408	5.735814612065908E-7	Q32LG3, Q9V0D5, P28271, Q9VWH4, P70097, Q9YHT2, P80148, Q148D5, Q68FX0, Q23629, Q51567, P13086, Q90512, Q17GM7, P41565, P41564, P40925, P49432, Q801S2, Q9ER34, Q04467, Q148N0, Q9V9J3, Q94517, Q59106, P0AC33, P53590	3423	40	12646	2.49373356704645	0.003202330019315358	2.2907864683563428E-4	0.0011044104832214074
